Name,Image_URL,Image_URL_2,Description
Toad tree,,,Tabernaemontana elegans : Toad treeOrigin : Eastern AfricaHeight in its natural environment : 12 mHardiness : -4°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Bergamot orange tree,,,Citrus bergamia : Bergamot orange treeFamily : RutaceaeOrigin : Middle eastHeight in its natural environment : 4 mHardiness : -5°CFlower colour: whiteDifficulty level : Beginner  Height: about 5 to 20 cm (depending on seasons)  Slow grower
Geiger tree,,,Cordia sebestena : Geiger treeFamily: BoraginaceaeOrigin : CaribbeansHeight in its natural environment : 9 mHardiness : -1°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Sugar-apple tree,,,Annona squamosa :Sugar-apple treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Pink sugar-apples tree,,,Pink Annona squamosa : Pink sugar-apples treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Papaya tree 'sweet sense',,,Carica papaya 'colombo' : Papaya tree 'sweet sense''Familly : CaricaceaeOrigin : MexicoHeight in its natural environment : 7 mHardiness : 4°CFlower colour : creamDifficulty level : Beginner  Height : about 10 to 20 cm  Fast grower
Emblic tree,,,Phyllanthus emblica : Emblic treeFamily : EuphorbiaceaeOrigin : AsiaHeight in its natural environment : 10 mHardiness : -1°CFlower colour : yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Shiny-leaf buckthorn,,,Rhamnus prinoides : Shiny-leaf buckthornFamily: RhamnaceaeOrigin : Afrique du SudHeight in its natural environment : 9 mHardiness : -7°CColour of the flower : verteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Papaya tree 'colombo',,,Carica papaya 'colombo' : Papaya tree 'colombo''Familly : CaricaceaeOrigin : MexicoHeight in its natural environment : 7 mHardiness : 4°CFlower colour : creamDifficulty level : Beginner  Height : about 10 to 20 cm  Fast grower
Lime Berry,,,"Triphasia trifoliata  : Lime BerryFamily: RutaceaeOrigin : China, South east AsiaHeight in its natural environment : 4 mHardiness : -1 °CColour of the flower : WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower"
Tamarillo - Tree tomato,,,"Solanum betaceum : Tamarillo - Tree tomatoFamily: SolanaceaeOrigin : Peru, Bolivia, Equator, ColombiaHeight in its natural environment : 5mHardiness : -3°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Winged-stem passion flower,,,"Passiflora alata : Winged-stem passion flowerFamily: PassifloraceaeOrigin of the Winged-stem passion flower : Peru, BrasilHeigh in its natural environment : 5 mHardiness : 5°CColour of the flower : red with purple, blue and white filamentsDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Jujube tree,,,Ziziphus jujuba : Jujube treeFamily : RhamnaceaeOrigin : ChinaHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Two-tones vanilla plant,,,Vanilla fragrans 'variegata' : Two-tones vanilla plantFamily : OrchidaceaOrigin : MexicoHeight in its natural environment : 20 mHardiness : 16°CFlower colour : yellowDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Papaya tree 'solo',,,Carica papaya 'solo' : Papaya tree 'solo'Family : CaricaceaeOrigin : MexicoHeight in its natural environment : 7 mRusticity : 4°CColour of the flower : creamDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Indian jujube,,,Ziziphus mauritiana : Indian jujubeFamily : RhamnaceaeOrigin : MauritiusHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Vanilla plant,,,Vanilla planifolia : Vanilla plantFamily : OrchidaceaeOrigin: MexicoHeight in its natural environment : 20 mHardiness : 16°CFlower colour : yellowDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Spanish tamarind,,,Vangueria madagascariensis : Spanish tamarindFamily : RubiaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness : 2°CColour of the flower : yellow /greenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Sausage tree,,,Kigelia africana : Sausage treeFamily: BignoniaceaeOrigin : SenegalHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Cashew tree,,,Anacardium occidentale : Cashew treeFamily : AnacardiaceaeOrigin : South AmericaHeight in its natural environment : 12 mHardiness : 12°CFlower colour : white and pinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Surinam cherry tree,,,Eugenia uniflora : Surinam cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Chañar,,,"Geoffroea decorticans : ChañarFamily:FabaceaeOrigin : Chili, ArgentinaHeight in its natural environment : 7 mHardiness : -10°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Moringa tree,,,Moringa oleifera : Moringa treeFamily: MoringaceaeOrigin : IndiaHeight in its natural environment : 12 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower
Oval kumquat,,,"Fortunella margarita : Oval kumquatFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 3 mHardiness : - 10°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Breadfruit,,,Artocarpus altilis : BreadfruitFamily: MoraceaeOrigin : OceaniaHeight in its natural environment : 25 mHardiness : 10°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Rose apple,,,Syzygium jambos  : Rose appleFamily: MyrtaceaeOrigin : MalaysiaHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Pigeon pea,,,Cajanus cajan :Family:Origin :Height in its natural environment :Hardiness :Colour of the flower :Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Jamun tree,,,Syzygium cumini : Jamun TreeFamily: MyrtaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : BlancheDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Indian almond tree,,,Terminalia catappa : Indian almond treeFamily : CombretaceaeOrigin : New CaledoniaHeight in its natural environment : 25 mHardiness : 0°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Banana passionfruit,,,Passiflora mollissima : Banana passionfruitFamily : PassifloraceaeOrigin : South AmericaHeight in its natural environment : 5 mHardiness : -3°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Paw Paw,,,Asimina triloba: Paw PawFamily: AnnonaceaeOrigin : United States of AmericaHeight in its natural environment : 12 mHardiness : -20°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Ice-cream bean,,,Inga edulis : Ice-cream beanFamily: FabaceaeOrigin : South AmericaHeight in its natural environment :  15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Calabash tree,,,Crescentia cujete : Calabash treeFamily : BignoniaceaeOrigin : MexicoHeight in its natural environment : 12 mHardiness : 2°CColour of the flower : Yellow/GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
White desert rose,,,White adenium obesum : White desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : white (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Queensland bottle tree,,,Brachychiton rupestris : Queensland bottle treeFamily : SterculiaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -8°CFlower colour : yellow with pinkDifficulty level : Beginner  Height about 10 to 30 cm (depending on seasons)  Fast grower
Kapok tree,,,Ceiba pentandra : KapokierFamille : MalvacéesOrigine : Amérique du Sud et Amérique CentraleHauteur dans son milieu naturel : 70 mRusticité : 0°CCouleur de la floraison : blanc crèmeDifficulty level : Beginner  Hauteur : environ 10 à 30 cm (selon les saisons)  Croissance rapide
Canary Islands dragon tree,,,Dracaena draco : Canary Islands dragon treeFamily: DracaenaceaeOrigin : Canary IslandHeight in its natural environment : 20 mHardiness : -1°CFlower colour :whiteDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons)  Medium grower
Governor's plum,,,Flacourtia indica : Governor's plumFamily: SalicaceaeOrigin : MadagascarHeight in its natural environment : 4 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pink desert rose,,,Pink Adenium obesum : pink desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : pink (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Buddha belly plant 'Yellow flowers',,,"Jatropha podagrica 'Yellow flowers' : Buddha belly plant 'Yellow flowers'Family : EuphorbiaceesOrigin : Central AmericaHeight in its natural environment : 1,50 mHardiness: 12°CFlower color : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast Grower"
Princess vine,,,"Cissus verticillata : Princess vineFamily: VitacaeOrigin : Mexico, caribeansHeight in its natural environment : 15 mHardiness : 2 °CColour of the flower : yellow /greenDifficulty level : Beginner  Height : about 20 to 100 cm (depending on seasons)  Fast grower"
Lakoocha fruit,,,We are also delighted to be able to offer youArtocarpus lacucha : LakoochaFamily: MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Red desert rose,,,Red Adenium obesum : Red desert roseFamily : ApocynaceaeOrigin : Eastern and Southern AfricaHaeight in its natural environment : 2 mHardiness : 10°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Parkinsonia aculeata,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Mexican flame vine,,,Pseudogynoxys chenopodioides : Mexican flame vineFamily: AstéraceaeOrigin : MexicoHeight in its natural environment : 5 mHardiness : -4°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Traveller's tree,,,Ravenala madagascariensis : Traveller's treeFamily : StrelitziaceaeOrigin : MadagascarHeight in its natural environment : 30 mHardiness : 15°CFlower color: blanc crèmeDifficulty level : Beginner  Height about 10 to 30 cm  Fast growth
Henkel's yellowwood,,,Podocarpus henkelii : Henkel's yellowwoodFamily: PodocarpaceaeOrigin : South AfricaHeight in its natural environment : 30 mHardiness : -5°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Snakewort,,,"Dorstenia contrajerva : SnakewortFamily: MoraceaeOrigin : Mexico, CaraïbesHeight in its natural environment : 45 cmHardiness : 2°CColour of the flower : Green/yellowDifficulty level : Beginner  Height : about 5 to 15 cm (depending on seasons)  Slow grower"
Womans Tongue Tree,,,Albizia lebbeck : Womans Tongue Tree Family: FabaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Weeping Boer-bean,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Purple desert rose,,,Adenium obesum purple : Purple desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : Purple (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Tortoise Plant,,,"Dioscorea elephantipes : Tortoise plantFamily : DioscoréaceaeOrigin : South AfricaHeight in its natural environment : 3 mHardiness: 10°CFlower colour : yellowDifficulty level : Expert  Height : 3 to 10 cm, depending of the season  Slow grower"
